year,id,topfederalrate,topstaterate,state_full,state,millionaire_shr_tr,millionaire_share
2012,18,32.84,6.18,"KENTUCKY","KY",.0012559,.0061146
2013,18,38.34,6.18,"KENTUCKY","KY",.0010179,.0056285
2014,18,38.34,6.18,"KENTUCKY","KY",.0011629,.0054496
2015,18,38.34,6.18,"KENTUCKY","KY",.0013089,.0057982
2016,18,38.34,6.18,"KENTUCKY","KY",.0013377,.0060919
2017,18,38.34,6.18,"KENTUCKY","KY",.0014323,.0056253
2001,19,38.85,3.65,"LOUISIANA","LA",.0007873,.0078032
2010,19,33.69,3.75,"LOUISIANA","LA",.001534,.0110339
2011,19,33.69,3.75,"LOUISIANA","LA",.0013719,.0093101
2012,19,33.69,3.75,"LOUISIANA","LA",.0022617,.0117888
2013,19,39.36,3.6,"LOUISIANA","LA",.001831,.0107587
2014,19,39.36,3.6,"LOUISIANA","LA",.0020121,.0100074
2015,19,39.36,3.6,"LOUISIANA","LA",.0018354,.0084885
2016,19,39.36,3.6,"LOUISIANA","LA",.0019459,.0091498
2017,19,39.36,3.6,"LOUISIANA","LA",.00198,.0079777
2001,20,36.85,8.75,"MAINE","ME",.0006697,.002155
2010,20,32.02,8.5,"MAINE","ME",.0008207,.0018534
2011,20,32.02,8.5,"MAINE","ME",.0008872,.0018855
2012,20,32.02,8.5,"MAINE","ME",.001267,.0020728
2013,20,37.64,7.95,"MAINE","ME",.000975,.0018175
2014,20,37.64,7.95,"MAINE","ME",.0011437,.0018083
2015,20,37.64,7.95,"MAINE","ME",.001208,.001809
2016,20,37.96,7.15,"MAINE","ME",.0014442,.0022456
2017,20,37.96,7.15,"MAINE","ME",.001485,.0020047
2001,21,38.37,4.87,"MARYLAND","MD",.0014076,.0191575
2010,21,32.81,6.25,"MARYLAND","MD",.0020607,.0207526
2011,21,32.81,6.25,"MARYLAND","MD",.0021308,.0202877
2012,21,32.99,5.75,"MARYLAND","MD",.0026075,.0193284
2013,21,38.48,5.83,"MARYLAND","MD",.0021449,.0184979
2014,21,38.48,5.83,"MARYLAND","MD",.0025242,.0183552
2015,21,38.48,5.83,"MARYLAND","MD",.002696,.018531
2016,21,38.48,5.83,"MARYLAND","MD",.0027687,.0195179
2017,21,38.48,5.83,"MARYLAND","MD",.0030106,.0183897
2001,22,38.08,5.6,"MASSACHUSETTS","MA",.0024915,.0407756
2010,22,33.15,5.3,"MASSACHUSETTS","MA",.0031959,.0369855
2011,22,33.15,5.3,"MASSACHUSETTS","MA",.0034975,.0382303
2012,22,33.16,5.25,"MASSACHUSETTS","MA",.0041997,.0355218
2013,22,38.71,5.25,"MASSACHUSETTS","MA",.0037958,.0367319
2014,22,38.73,5.2,"MASSACHUSETTS","MA",.0045339,.0375526
2015,22,38.75,5.15,"MASSACHUSETTS","MA",.0047393,.0373403
2016,22,38.77,5.1,"MASSACHUSETTS","MA",.0047391,.0386058
2017,22,38.77,5.1,"MASSACHUSETTS","MA",.0052326,.0370045
2001,23,38.63,4.2,"MICHIGAN","MI",.0008702,.0210227
2010,23,33.48,4.35,"MICHIGAN","MI",.0010743,.0178804
2011,23,33.48,4.35,"MICHIGAN","MI",.0011869,.0186236
2012,23,33.48,4.33,"MICHIGAN","MI",.0016864,.0202353
2013,23,39.1,4.25,"MICHIGAN","MI",.0014559,.0198757
2014,23,39.1,4.25,"MICHIGAN","MI",.0017267,.0200396
2015,23,39.1,4.25,"MICHIGAN","MI",.001806,.0197602
2016,23,39.1,4.25,"MICHIGAN","MI",.0019476,.0219547
2017,23,39.1,4.25,"MICHIGAN","MI",.0021017,.0204762
2001,24,37.11,8.09,"MINNESOTA","MN",.0012642,.0158856
2010,24,32.25,7.85,"MINNESOTA","MN",.0017821,.0164894
2011,24,32.17,8.09,"MINNESOTA","MN",.0018246,.0159262
2012,24,32.17,8.09,"MINNESOTA","MN",.0024924,.0169189
2013,24,36.65,10.44,"MINNESOTA","MN",.0021029,.0163579
2014,24,36.77,10.15,"MINNESOTA","MN",.0023849,.0158781
2015,24,36.77,10.15,"MINNESOTA","MN",.002598,.0164204
2016,24,36.77,10.15,"MINNESOTA","MN",.0025462,.0166511
2017,24,36.77,10.15,"MINNESOTA","MN",.0027197,.0154236
2001,25,38.29,5.07,"MISSISSIPPI","MS",.000557,.0034195
2010,25,33.25,5,"MISSISSIPPI","MS",.0007503,.0034792
2011,25,33.25,5,"MISSISSIPPI","MS",.0007204,.0031101
2012,25,33.25,5,"MISSISSIPPI","MS",.0011679,.0037828
2013,25,38.78,5.07,"MISSISSIPPI","MS",.0008991,.0032833
2014,25,38.78,5.07,"MISSISSIPPI","MS",.0010375,.0031954
2015,25,38.78,5.07,"MISSISSIPPI","MS",.0010605,.0030614
2016,25,38.78,5.07,"MISSISSIPPI","MS",.0010892,.0032012
2017,25,38.78,5.07,"MISSISSIPPI","MS",.0010928,.0027615
2001,26,37.9,6.07,"MISSOURI","MO",.0009133,.0123502
2010,26,32.94,5.9,"MISSOURI","MO",.001302,.0126489
2011,26,32.94,5.9,"MISSOURI","MO",.0013334,.0122089
2012,26,32.94,5.9,"MISSOURI","MO",.0018142,.0128252
2013,26,38.38,6.08,"MISSOURI","MO",.0015092,.0121365
2014,26,38.38,6.08,"MISSOURI","MO",.0016586,.0113698
2015,26,38.38,6.08,"MISSOURI","MO",.0018545,.0119906
2016,26,38.38,6.08,"MISSOURI","MO",.0018839,.0125182
2017,26,38.38,6.08,"MISSOURI","MO",.0019524,.0112302
2001,27,37.45,7.21,"MONTANA","MT",.0004966,.001117
2010,27,32.59,6.9,"MONTANA","MT",.0009687,.0016619
2011,27,32.51,7.11,"MONTANA","MT",.0010085,.0016272
2012,27,32.51,7.11,"MONTANA","MT",.001628,.0020468
2013,27,37.97,7.11,"MONTANA","MT",.0011894,.0017003
2014,27,37.97,7.11,"MONTANA","MT",.001626,.0019817
2015,27,37.97,7.11,"MONTANA","MT",.0015848,.0018322
2016,27,37.97,7.11,"MONTANA","MT",.0014979,.0017917
2017,27,37.97,7.11,"MONTANA","MT",.001698,.0017592
2001,28,37.6,6.85,"NEBRASKA","NE",.00084,.003567
2010,28,33.07,5.51,"NEBRASKA","NE",.0013687,.0042235
2011,28,33.07,5.51,"NEBRASKA","NE",.0013599,.0039623
2012,28,33.07,5.51,"NEBRASKA","NE",.0021217,.0047932
2013,28,38.01,7.02,"NEBRASKA","NE",.001568,.0040455
2014,28,38.01,7.02,"NEBRASKA","NE",.0018783,.0041367
2015,28,38.01,7.02,"NEBRASKA","NE",.0019236,.0040123
2016,28,37.74,7.71,"NEBRASKA","NE",.0018369,.0039418
2017,28,37.74,7.71,"NEBRASKA","NE",.0019537,.0036207
2001,29,40.27,0,"NEVADA","NV",.0019571,.0101109
2010,29,35,0,"NEVADA","NV",.0018767,.0085699
2011,29,35,0,"NEVADA","NV",.0019601,.0085351
2012,29,35,0,"NEVADA","NV",.0025594,.0085501
2013,29,40.79,0,"NEVADA","NV",.0022254,.0085307
2014,29,40.79,0,"NEVADA","NV",.0024892,.0081496
2015,29,40.79,0,"NEVADA","NV",.0026134,.008187
2016,29,40.79,0,"NEVADA","NV",.0027368,.0090064
2017,29,40.79,0,"NEVADA","NV",.0031033,.0090005
2001,30,40.27,0,"NEW HAMPSHIRE","NH",.0013793,.0045997
2010,30,35,0,"NEW HAMPSHIRE","NH",.0014821,.0035551
2011,30,35,0,"NEW HAMPSHIRE","NH",.0016571,.003771
2012,30,35,0,"NEW HAMPSHIRE","NH",.0020885,.0036791
2013,30,40.79,0,"NEW HAMPSHIRE","NH",.0017455,.0034885
2014,30,40.79,0,"NEW HAMPSHIRE","NH",.0021605,.0036661
2015,30,40.79,0,"NEW HAMPSHIRE","NH",.0022075,.0035485
2016,30,40.79,0,"NEW HAMPSHIRE","NH",.002276,.0037985
2017,30,40.79,0,"NEW HAMPSHIRE","NH",.0026017,.0037639
2001,31,37.78,6.37,"NEW JERSEY","NJ",.0025682,.0553176
2010,31,31.86,8.97,"NEW JERSEY","NJ",.003201,.0495621
2011,31,31.86,8.97,"NEW JERSEY","NJ",.0033381,.0484463
2012,31,31.86,8.97,"NEW JERSEY","NJ",.0039558,.0441497
2013,31,37.24,8.97,"NEW JERSEY","NJ",.0036608,.0464353
2014,31,37.24,8.97,"NEW JERSEY","NJ",.004191,.045083
2015,31,37.24,8.97,"NEW JERSEY","NJ",.0044646,.0454113
2016,31,37.24,8.97,"NEW JERSEY","NJ",.0043493,.0455577
2017,31,37.24,8.97,"NEW JERSEY","NJ",.0047613,.043223
2001,32,36.97,8.45,"NEW MEXICO","NM",.0008953,.0040096
2010,32,33.28,4.9,"NEW MEXICO","NM",.0008543,.0028181
2011,32,33.28,4.9,"NEW MEXICO","NM",.0008781,.0026941
2012,32,33.28,4.9,"NEW MEXICO","NM",.0012592,.0029537
2013,32,38.79,5.05,"NEW MEXICO","NM",.0009495,.0025211
2014,32,38.79,5.05,"NEW MEXICO","NM",.0011297,.0025514
2015,32,38.79,5.05,"NEW MEXICO","NM",.00109,.0023193
2016,32,38.79,5.05,"NEW MEXICO","NM",.0010904,.0023651
2017,32,38.79,5.05,"NEW MEXICO","NM",.0011818,.0022297
2001,33,37.58,6.89,"NEW YORK","NY",.0030401,.138834
2010,33,31.86,8.97,"NEW YORK","NY",.0038613,.12935
2011,33,31.86,8.97,"NEW YORK","NY",.0040734,.1282955
2012,33,32.6,6.85,"NEW YORK","NY",.0046797,.1135351
2013,33,38.06,6.89,"NEW YORK","NY",.004397,.1217167
2014,33,38.06,6.89,"NEW YORK","NY",.0049812,.117513
2015,33,38.06,6.89,"NEW YORK","NY",.0052087,.1161491
2016,33,38.06,6.89,"NEW YORK","NY",.005065,.1160324
2017,33,38.06,6.89,"NEW YORK","NY",.0055163,.1093974
2001,34,36.95,8.5,"NORTH CAROLINA","NC",.0008441,.016228
2010,34,32.21,7.98,"NORTH CAROLINA","NC",.0011676,.0177286
2011,34,32.29,7.75,"NORTH CAROLINA","NC",.0012104,.0174427
2012,34,32.29,7.75,"NORTH CAROLINA","NC",.0016163,.0179552
2013,34,37.63,7.98,"NORTH CAROLINA","NC",.0013907,.0176771
2014,34,38.49,5.8,"NORTH CAROLINA","NC",.0016983,.0184295
2015,34,38.51,5.75,"NORTH CAROLINA","NC",.0019093,.019737
2016,34,38.51,5.75,"NORTH CAROLINA","NC",.0019194,.0206885
2017,34,38.61,5.5,"NORTH CAROLINA","NC",.0021582,.0202103
2001,35,38.16,5.41,"NORTH DAKOTA","ND",.0004379,.0006955
2010,35,33.38,4.63,"NORTH DAKOTA","ND",.0016613,.0019835
2011,35,33.66,3.84,"NORTH DAKOTA","ND",.0021494,.0024793
2012,35,33.66,3.84,"NORTH DAKOTA","ND",.0035047,.0032128
2013,35,39.52,3.21,"NORTH DAKOTA","ND",.0029294,.0031074
2014,35,39.52,3.21,"NORTH DAKOTA","ND",.0034272,.0031459
2015,35,39.64,2.9,"NORTH DAKOTA","ND",.0025989,.0022265
2016,35,39.64,2.9,"NORTH DAKOTA","ND",.0019437,.0016723
2017,35,39.64,2.9,"NORTH DAKOTA","ND",.0021214,.0015751
2001,36,37.34,7.5,"OHIO","OH",.0007497,.0219131
2010,36,32.82,6.24,"OHIO","OH",.0010691,.0210019
2011,36,32.93,5.92,"OHIO","OH",.0011805,.0218176
2012,36,32.93,5.93,"OHIO","OH",.001685,.0240439
2013,36,38.64,5.42,"OHIO","OH",.0013582,.022045
2014,36,38.68,5.33,"OHIO","OH",.0016133,.0222195
2015,36,38.81,5,"OHIO","OH",.0016881,.0218939
2016,36,38.81,5,"OHIO","OH",.0017155,.0228386
2017,36,38.81,5,"OHIO","OH",.0017827,.0204967
2001,37,37.96,5.91,"OKLAHOMA","OK",.000787,.0061066
2010,37,33.18,5.21,"OKLAHOMA","OK",.0015122,.0086891
2011,37,33.18,5.21,"OKLAHOMA","OK",.0017832,.0096758
2012,37,33.25,4.99,"OKLAHOMA","OK",.0023603,.0098974
2013,37,38.75,5.14,"OKLAHOMA","OK",.0019317,.0092343
2014,37,38.75,5.14,"OKLAHOMA","OK",.0022197,.0090166
2015,37,38.75,5.14,"OKLAHOMA","OK",.0019487,.0074217
2016,37,38.78,5.07,"OKLAHOMA","OK",.0017075,.0065936
2017,37,38.78,5.07,"OKLAHOMA","OK",.002,.0066686
2001,38,36.72,9.08,"OREGON","OR",.0008169,.0067652
2010,38,31.53,9.91,"OREGON","OR",.0010343,.0065141
2011,38,31.84,9.01,"OREGON","OR",.0011017,.0064986
2012,38,31.84,9.01,"OREGON","OR",.001566,.0071769
2013,38,37.11,9.28,"OREGON","OR",.0013602,.0071529
2014,38,36.83,9.99,"OREGON","OR",.0016698,.0075551
2015,38,36.83,9.99,"OREGON","OR",.0019098,.008303
2016,38,36.83,9.99,"OREGON","OR",.0019958,.0090542
2017,38,36.83,9.99,"OREGON","OR",.0021716,.0086119
2001,39,39.18,2.8,"PENNSYLVANIA","PA",.0010382,.031671
2010,39,33.93,3.07,"PENNSYLVANIA","PA",.0015571,.0344854
2011,39,33.93,3.07,"PENNSYLVANIA","PA",.0016464,.034154
2012,39,33.93,3.07,"PENNSYLVANIA","PA",.0021649,.0344077
2013,39,39.57,3.07,"PENNSYLVANIA","PA",.0018445,.0332727
2014,39,39.57,3.07,"PENNSYLVANIA","PA",.0021932,.033515
2015,39,39.57,3.07,"PENNSYLVANIA","PA",.0022998,.0330728
2016,39,39.57,3.07,"PENNSYLVANIA","PA",.0022396,.0331112
2017,39,39.57,3.07,"PENNSYLVANIA","PA",.0024949,.0318292
2001,40,36.58,9.45,"RHODE ISLAND","RI",.0010485,.0027398
2010,40,32.9,6,"RHODE ISLAND","RI",.0014418,.0026519
2011,40,32.9,5.99,"RHODE ISLAND","RI",.001483,.0025532
2012,40,32.9,5.99,"RHODE ISLAND","RI",.0018326,.0024355
2013,40,38.42,5.99,"RHODE ISLAND","RI",.0016414,.0024918
2014,40,38.42,5.99,"RHODE ISLAND","RI",.0019161,.0024771
2015,40,38.42,5.99,"RHODE ISLAND","RI",.0019526,.0023888
2016,40,38.42,5.99,"RHODE ISLAND","RI",.0019268,.0024368
2017,40,38.42,5.99,"RHODE ISLAND","RI",.002143,.0023524
2001,41,37.51,7.08,"SOUTH CAROLINA","SC",.0006813,.0064596
2010,41,32.55,7,"SOUTH CAROLINA","SC",.0009509,.0070488
2011,41,32.55,7,"SOUTH CAROLINA","SC",.0009992,.0070086
2012,41,32.55,7,"SOUTH CAROLINA","SC",.0014153,.0076174
2013,41,37.98,7.08,"SOUTH CAROLINA","SC",.0012203,.007534
2014,41,37.98,7.08,"SOUTH CAROLINA","SC",.0013746,.0072331
